time,x,y
0.00,324,268
1.00,321,165
2.00,327,164
3.00,329,166
4.00,332,164
5.00,333,164
6.00,336,163
7.00,337,158
8.00,340,158
9.00,340,167
10.00,338,160
11.00,338,164
12.00,341,163
13.00,339,162
14.00,340,164
15.00,343,157
16.00,342,155
17.00,341,156
18.00,343,156
19.00,343,166
20.00,345,157
21.00,344,155
22.00,341,166
23.00,344,161
24.00,342,162
25.00,345,154
26.00,344,155
27.00,341,156
28.00,343,164
29.00,346,154
30.00,344,164
31.00,343,154
32.00,342,154
33.00,346,160
34.00,346,154
35.00,344,159
36.00,344,159
37.00,344,156
38.00,345,152
39.00,343,161
40.00,346,154
41.00,341,161
42.00,345,151
43.00,346,156
44.00,345,163
45.00,360,189
46.00,359,196
47.00,368,210
48.00,345,262
49.00,369,217
50.00,331,250
51.00,361,197
52.00,342,263
53.00,364,218
54.00,333,256
55.00,347,198
56.00,350,201
57.00,351,197
58.00,350,200
59.00,350,199
60.00,343,197
61.00,325,246
62.00,343,213
63.00,345,218
64.00,328,173
65.00,331,171
66.00,335,160
67.00,334,165
68.00,336,162
69.00,336,159
70.00,335,160
71.00,337,161
72.00,336,167
73.00,336,163
74.00,334,167
75.00,337,166
76.00,336,167
77.00,337,155
78.00,334,165
79.00,337,155
80.00,335,166
81.00,337,165
82.00,339,159
83.00,339,157
84.00,336,157
85.00,336,163
86.00,340,164
87.00,340,158
88.00,336,157
89.00,338,155
90.00,335,166
91.00,340,154
92.00,338,161
93.00,337,157
94.00,335,166
95.00,337,169
96.00,336,170
97.00,339,165
98.00,323,166
99.00,324,166
100.00,324,167
101.00,323,176
102.00,330,164
103.00,332,156
104.00,337,154
105.00,336,154
106.00,332,167
107.00,336,157
108.00,349,192
109.00,349,198
110.00,321,237
111.00,325,238
112.00,349,198
113.00,349,196
114.00,351,196
115.00,350,196
116.00,350,195
117.00,350,196
118.00,350,199
119.00,349,198
120.00,349,199
121.00,351,198
122.00,349,195
123.00,327,241
124.00,352,202
125.00,354,202
126.00,328,243
127.00,351,202
128.00,353,203
129.00,328,246
130.00,353,201
131.00,352,202
132.00,352,202
133.00,352,201
134.00,327,242
135.00,327,242
136.00,328,243
137.00,326,245
138.00,351,203
139.00,352,201
140.00,352,202
141.00,352,202
142.00,355,205
143.00,350,202
144.00,351,201
145.00,329,241
146.00,327,242
147.00,352,200
148.00,328,243
149.00,353,201
150.00,353,201
151.00,345,208
152.00,328,163
153.00,330,169
154.00,334,164
155.00,335,153
156.00,333,168
157.00,333,156
158.00,336,155
159.00,336,153
160.00,335,156
161.00,335,155
162.00,335,155
163.00,338,152
164.00,336,158
165.00,337,165
166.00,334,164
167.00,335,162
168.00,333,165
169.00,337,162
170.00,335,164
171.00,337,156
172.00,337,152
173.00,335,164
174.00,336,153
175.00,337,161
176.00,333,164
177.00,336,163
178.00,335,156
179.00,337,162
180.00,336,156
181.00,335,166
182.00,334,162
183.00,338,164
184.00,336,163
185.00,337,154
186.00,339,152
187.00,336,156
188.00,338,155
189.00,337,154
190.00,335,165
191.00,336,153
192.00,334,156
193.00,337,153
194.00,340,153
195.00,335,155
196.00,327,234
197.00,323,245
198.00,322,244
199.00,324,239
200.00,324,242
201.00,349,199
202.00,325,240
203.00,326,238
204.00,351,199
205.00,347,199
206.00,350,199
207.00,245,176
208.00,286,311
209.00,158,416
210.00,158,416
211.00,-1,-1
212.00,284,308
213.00,354,207
214.00,410,363
215.00,410,363
216.00,410,363
217.00,410,363
218.00,410,363
219.00,410,363
220.00,410,363
221.00,410,363
222.00,410,363
223.00,410,363
224.00,410,363
225.00,410,363
226.00,410,363
227.00,410,363
228.00,410,363
229.00,410,363
230.00,410,363
231.00,410,363
232.00,410,363
233.00,410,363
234.00,410,363
235.00,410,363
236.00,410,363
237.00,410,363
238.00,410,363
239.00,410,363
240.00,410,363
241.00,410,363
242.00,410,363
243.00,410,363
244.00,410,363
245.00,410,363
246.00,410,363
247.00,410,363
248.00,410,363
249.00,410,363
250.00,410,363
251.00,410,363
252.00,410,363
253.00,410,363
254.00,410,363
255.00,410,363
256.00,410,363
257.00,410,363
258.00,410,363
259.00,410,363
260.00,410,363
261.00,410,363
262.00,410,363
263.00,410,363
264.00,410,363
265.00,410,363
266.00,410,363
267.00,410,363
268.00,410,363
269.00,410,363
270.00,410,363
271.00,410,363
272.00,410,363
273.00,410,363
274.00,410,363
275.00,410,363
276.00,410,363
277.00,410,363
278.00,410,363
279.00,410,363
280.00,410,363
281.00,410,363
282.00,410,363
283.00,410,363
284.00,410,363
285.00,410,363
286.00,410,363
287.00,410,363
288.00,410,363
289.00,410,363
290.00,410,363
291.00,410,363
292.00,410,363
293.00,409,363
294.00,409,363
295.00,409,364
296.00,409,364
297.00,409,364
298.00,409,364
299.00,409,363
300.00,409,363
301.00,410,363
302.00,410,363
303.00,411,362
304.00,411,362
305.00,411,362
306.00,411,362
307.00,411,362
308.00,411,362
309.00,410,362
310.00,410,362
311.00,410,362
312.00,410,362
313.00,410,362
314.00,410,362
315.00,410,362
316.00,412,360
317.00,412,360
318.00,411,361
319.00,412,360
320.00,412,360
321.00,411,360
322.00,411,360
323.00,411,360
324.00,411,360
325.00,412,360
326.00,412,359
327.00,412,359
328.00,412,359
329.00,412,359
330.00,412,359
331.00,412,359
332.00,412,359
333.00,412,359
334.00,412,359
335.00,412,359
336.00,412,359
337.00,412,359
338.00,412,359
339.00,412,359
340.00,412,359
341.00,413,359
342.00,413,359
343.00,413,359
344.00,413,359
345.00,413,359
346.00,413,359
347.00,413,359
348.00,412,360
349.00,412,360
350.00,412,359
351.00,413,359
352.00,413,359
353.00,413,359
354.00,413,359
355.00,413,359
356.00,413,359
357.00,413,359
358.00,413,359
359.00,413,359
360.00,413,359
361.00,413,359
362.00,412,359
363.00,413,359
364.00,412,359
365.00,413,359
366.00,412,359
367.00,412,359
368.00,413,359
369.00,413,359
370.00,413,359
371.00,413,359
372.00,413,359
373.00,413,359
374.00,412,359
375.00,412,359
376.00,412,359
377.00,413,359
378.00,413,359
379.00,413,359
380.00,413,358
381.00,410,361
382.00,410,361
383.00,410,360
384.00,410,361
385.00,410,361
386.00,410,360
387.00,410,360
388.00,411,358
389.00,409,359
390.00,408,361
391.00,408,360
392.00,408,360
393.00,409,359
394.00,409,360
395.00,408,359
396.00,408,359
397.00,408,359
398.00,408,359
399.00,408,359
400.00,408,360
401.00,408,360
402.00,407,360
403.00,406,361
404.00,406,361
405.00,406,361
406.00,407,360
407.00,406,360
408.00,406,360
409.00,406,360
410.00,406,360
411.00,406,360
412.00,406,360
413.00,406,360
414.00,405,361
415.00,405,362
416.00,405,362
417.00,404,362
418.00,404,362
419.00,405,361
420.00,405,361
421.00,404,361
422.00,404,361
423.00,404,361
424.00,404,361
425.00,404,361
426.00,404,361
427.00,404,362
428.00,404,362
429.00,404,362
430.00,404,362
431.00,404,362
432.00,404,362
433.00,403,362
434.00,403,362
435.00,403,362
436.00,403,362
437.00,403,362
438.00,403,362
439.00,403,362
440.00,403,362
441.00,403,362
442.00,403,362
443.00,403,362
444.00,403,361
445.00,403,362
446.00,403,362
447.00,403,362
448.00,403,362
449.00,403,362
450.00,403,362
451.00,403,362
452.00,403,362
453.00,403,362
454.00,403,362
455.00,403,362
456.00,403,362
457.00,403,362
458.00,403,362
459.00,403,362
460.00,403,362
461.00,403,362
462.00,403,362
463.00,403,362
464.00,403,362
465.00,403,362
466.00,403,362
467.00,403,362
468.00,403,362
469.00,403,361
470.00,403,361
471.00,403,361
472.00,403,361
473.00,403,361
474.00,403,361
475.00,403,361
476.00,403,361
477.00,403,361
478.00,403,361
